,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
732,Te Robaré,0.6730000000000000,0.752,2.0,-3.572,0.0,0.0561,0.24100000000000000,4.51E-05,0.0813,0.797,175.997,audio_features,4PJ3umtW1aWdfh5EITHc6T,spotify:track:4PJ3umtW1aWdfh5EITHc6T,https://api.spotify.com/v1/tracks/4PJ3umtW1aWdfh5EITHc6T,https://api.spotify.com/v1/audio-analysis/4PJ3umtW1aWdfh5EITHc6T,201818.0,4.0
733,Who Would've Thought,0.706,0.909,2.0,-3.6310000000000000,0.0,0.20200000000000000,0.158,1.44E-06,0.122,0.29,144.925,audio_features,1cB0lbXePVU0swAzsnJOnS,spotify:track:1cB0lbXePVU0swAzsnJOnS,https://api.spotify.com/v1/tracks/1cB0lbXePVU0swAzsnJOnS,https://api.spotify.com/v1/audio-analysis/1cB0lbXePVU0swAzsnJOnS,214759.0,4.0
734,Summer Rain,0.19900000000000000,0.998,3.0,-15.915,0.0,0.048,0.141,0.998,0.718,1E-05,83.59700000000000,audio_features,2EFmaS0hseF13XMk8ZdfK3,spotify:track:2EFmaS0hseF13XMk8ZdfK3,https://api.spotify.com/v1/tracks/2EFmaS0hseF13XMk8ZdfK3,https://api.spotify.com/v1/audio-analysis/2EFmaS0hseF13XMk8ZdfK3,131775.0,3.0
735,Can't Get Enough,0.768,0.62,2.0,-7.399,1.0,0.0658,0.139,0.0,0.521,0.589,132.035,audio_features,3mTpegrOwRn0oJjv4TSbEE,spotify:track:3mTpegrOwRn0oJjv4TSbEE,https://api.spotify.com/v1/tracks/3mTpegrOwRn0oJjv4TSbEE,https://api.spotify.com/v1/audio-analysis/3mTpegrOwRn0oJjv4TSbEE,225960.0,4.0
736,Suite bergamasque: Suite bergamasque: III. Clair de lune. Andante très expressif,0.34300000000000000,0.0252,1.0,-27.013,1.0,0.0488,0.993,0.932,0.0454,0.0395,67.207,audio_features,6N7JzrteJv8lsr1GWYyu0b,spotify:track:6N7JzrteJv8lsr1GWYyu0b,https://api.spotify.com/v1/tracks/6N7JzrteJv8lsr1GWYyu0b,https://api.spotify.com/v1/audio-analysis/6N7JzrteJv8lsr1GWYyu0b,279160.0,5.0
737,3005,0.47200000000000000,0.44800000000000000,6.0,-7.272,0.0,0.326,0.113,0.0,0.0914,0.636,166.077,audio_features,2ZltjIqztEpZtafc8w0I9t,spotify:track:2ZltjIqztEpZtafc8w0I9t,https://api.spotify.com/v1/tracks/2ZltjIqztEpZtafc8w0I9t,https://api.spotify.com/v1/audio-analysis/2ZltjIqztEpZtafc8w0I9t,234215.0,4.0
738,Baby,0.772,0.634,10.0,-6.101,0.0,0.212,0.135,0.0,0.4320000000000000,0.6710000000000000,160.05200000000000,audio_features,7hav1MHURQf5SAoPk0egqh,spotify:track:7hav1MHURQf5SAoPk0egqh,https://api.spotify.com/v1/tracks/7hav1MHURQf5SAoPk0egqh,https://api.spotify.com/v1/audio-analysis/7hav1MHURQf5SAoPk0egqh,210261.0,4.0
739,Birthday Sex,0.679,0.522,7.0,-5.603,0.0,0.0427,0.297,0.0,0.151,0.445,60.014000000000000,audio_features,4NpDZPwSXmL0cCTaJuVrCw,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/tracks/4NpDZPwSXmL0cCTaJuVrCw,https://api.spotify.com/v1/audio-analysis/4NpDZPwSXmL0cCTaJuVrCw,226507.0,4.0
740,Will He,0.618,0.217,10.0,-15.372,1.0,0.0515,0.836,0.00016300000000000000,0.5380000000000000,0.0872,116.014,audio_features,7wvwXi9Z66dcH5t202vVkN,spotify:track:7wvwXi9Z66dcH5t202vVkN,https://api.spotify.com/v1/tracks/7wvwXi9Z66dcH5t202vVkN,https://api.spotify.com/v1/audio-analysis/7wvwXi9Z66dcH5t202vVkN,202103.0,4.0
741,Atrévete-Te-Te,0.8290000000000000,0.878,9.0,-5.9510000000000000,1.0,0.10100000000000000,0.0959,0.0,0.7760000000000000,0.883,87.991,audio_features,1q8NdCAQ9QUjpYiqzdd3mv,spotify:track:1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/tracks/1q8NdCAQ9QUjpYiqzdd3mv,https://api.spotify.com/v1/audio-analysis/1q8NdCAQ9QUjpYiqzdd3mv,239307.0,4.0
